RT @seanhannity: #Ad Trump's new tax plan puts $2k in the pockets of average Americans. Stand up and demand Congress cut taxes now! https:/…,-0.025568181818181823,0.42727272727272725,Negative,Objective
RT @trichardpdx: @FoxNews @POTUS @NextRevFNC Trump desecrates the National Anthem at Arlington National Cemetery: https://t.co/pAMiL9YczN,0.0,0.0,Positive,Objective
RT @ClintSmithIII: I'm from New Orleans &amp; lived through Katrina. What Bush did was gross negligence. But what Trump is doing is cold-hearte…,0.06818181818181818,0.22727272727272727,Positive,Objective
"RT @TheRickyDavila: trump: EVERYTHING IS GREAT?!🤑

After first tour of Puerto Rico, top General calls damage 'the worst he’s ever seen'
htt…",-0.04999999999999999,0.5833333333333333,Negative,Subjective
RT @AmirAminiMD: This is the most disturbing/frightening thing Trump has ever said. A mad man w/ 7600 nucl. warheads who thinks diplomacy i…,-0.0625,0.75,Negative,Subjective
もう一枚のジョーカー,0.0,0.0,Positive,Objective
"RT @AmandaMarcotte: This isn't a ""feud"". Stop talking about Trump's racism and inhumanity like it's reality TV fodder for tabloids. https:/…",0.0,0.0,Positive,Objective
RT @peterdaou: FACT: EVERY TRUMP TWEET IS THE RESPONSIBILITY OF THOSE WHO ELECTED AND ENABLE HIM. https://t.co/QcQR00b9Ck,0.0,0.0,Positive,Objective
Dispicable assumptions. Unbelievable accusations of Trump being racist when he’s anything but. No sense in debating… https://t.co/NEYbbqBNDi,-0.25,1.0,Negative,Subjective
"RT @WalshFreedom: He calls Trump a ""cheap cracker."" On national TV.

Would a comedian still have a job if he called Obama a ""nigger?"" https…",0.4,0.7,Positive,Subjective
"RT @realivansplash: Nigga said fuck the flag, fuck Trump, fuck the NFL, ain’t nobody gonna beat my ass LMAOOO https://t.co/r3xx7vZ83C",-0.4000000000000001,0.6,Negative,Subjective
RT @ResistenciaV58: Trump pidió a la Unión Europea que aplique sanciones al régimen de Maduro [VIDEO] https://t.co/BV8humY9Hd,0.0,0.0,Positive,Objective
I liked a @YouTube video https://t.co/IxAclGDkCb Plies In Complete Shock Lebron James Spoke Out Against Donald Trump,0.35,0.6000000000000001,Positive,Subjective
I'm no longer going to use Trump's name. Now it's just Scum. President Scum.,-0.3,0.4,Negative,Objective
"RT @toddstarnes: Folks, @CNN is flat-out lying about Trump's response to Puerto Rico. Stop with your racist, dog-whistles  @CNN.",0.0,0.0,Positive,Objective
RT @seanhannity: #Ad Trump's new tax plan puts $2k in the pockets of average Americans. Stand up and demand Congress cut taxes now! https:/…,-0.025568181818181823,0.42727272727272725,Negative,Objective
RT @BlackPplVines: Despacito x Wild thoughts 🔥 pure talent https://t.co/vAmMY3v7z0,0.15714285714285714,0.45,Positive,Objective
"RT @swaginman_jovon: Daddy Yankee did not create Gasolina to be called ""Despacito Singer"" https://t.co/eMrkcu7dbd",0.0,0.0,Positive,Objective
"RT @SGcharts: Biggest Hits — 2017 (so far):

1. Shape Of You
2. Despacito
3. Something Just Like This
4. It Ain't Me https://t.co/pKuwSgYPzl",0.1,1.0,Positive,Subjective
Remeber this @justinbieber? 😂😂 #lolly https://t.co/9cnSR4W6tJ,0.0,0.0,Positive,Objective
RT @Qa_661: مكس قال أحبك و Despacito .. صوتها ملائكي يا جماعه 🎶❤️ https://t.co/ghY8gIOiqa,0.0,0.0,Positive,Objective
Despacito featuring Justin Bieber has broken all records on Wynk Music - SEE MORE: https://t.co/WzeyetP68H,0.04999999999999999,0.45,Positive,Objective
if yall allow yallselves to drop a despacito bomb 6 times every hour w/o askin the fanbase to jump over hurdles you can do the same fa bts,0.0,0.125,Positive,Objective
RT @WillyrexMx: Prepárense para un YouTube Rewind 2017 lleno de Despacito,0.0,0.0,Positive,Objective
Tôi đã thích video https://t.co/SpFXulea7d LUIS FONSI | DESPACITO | JAPANESE COVER | MINGOZ FT. THE BROTHERHOOD trên @YouTube,0.0,0.0,Positive,Objective
RT @Benji_Mascolo: nulla da togliere.. grande hit.. tutto il bene del mondo.. ma io dico basta a despacito in radio a ottobre 🙃🙃🙃,0.0,0.0,Positive,Objective
"RT @Kaigai_MV: 🎶ミニオンが歌う『Despacito』が可愛い✨😆

#ミニオン #Despacito https://t.co/AV2VBZpg70",0.0,0.0,Positive,Objective
He añadido un vídeo a una lista de reproducción de @YouTube (https://t.co/AXhrxVuEX3 - (despacito) - Luis fonsi - (Jesucristo),0.0,0.0,Positive,Objective
"RT @headlineplanet: This week's top tracks on US YouTube:
1) Bodak Yellow
2) Despacito
3) Look What You Made Me Do
4) 1-800-273-8255
5) Rak…",0.25,0.25,Positive,Objective
Justin Bieber apoyando #Havana..ya podían hacer alguna collab y esta canción lo peta más que #Despacito aunque a mi Justin Bieber me guste 0,0.0,0.0,Positive,Objective
RT @Benji_Mascolo: nulla da togliere.. grande hit.. tutto il bene del mondo.. ma io dico basta a despacito in radio a ottobre 🙃🙃🙃,0.0,0.0,Positive,Objective
